"region","channel","device","total_orders","total_revenue","avg_order_value","avg_discount_pct","return_rate_percent"
"Europe","Email","Desktop","182","60630.02","333.13","7.31","0.12"
"Europe","Email","Tablet","41","12929.7","315.36","4.51","0.15"
"Europe","Email","Mobile","240","74925.93","312.19","5.71","0.1"
"Europe","Influencer","Tablet","47","16170.53","344.05","5.74","0.06"
"Europe","Influencer","Mobile","210","53535.34","254.93","5.93","0.1"
"Europe","Influencer","Desktop","150","37282.14","248.55","6.4","0.04"
"Europe","Organic","Tablet","81","27631.36","341.13","5.25","0.07"
"Europe","Organic","Desktop","271","73875.08","272.6","5.76","0.09"
"Europe","Organic","Mobile","497","127977.08","257.5","5.61","0.1"
"Europe","Paid Search","Tablet","65","19399.510000000002","298.45","6.77","0.11"
"Europe","Paid Search","Desktop","255","72154","282.96","5.96","0.08"
"Europe","Paid Search","Mobile","351","94728.83","269.88","6.45","0.09"
"Europe","Referral","Tablet","32","9907.45","309.61","6.88","0.19"
"Europe","Referral","Mobile","155","44623.73","287.9","5.71","0.08"
"Europe","Referral","Desktop","114","31561.81","276.86","6.71","0.04"
"Europe","Social Ads","Desktop","255","86013.66","337.31","6.39","0.06"
"Europe","Social Ads","Tablet","57","18582.53","326.01","4.3","0.09"
"Europe","Social Ads","Mobile","389","99601.24","256.04","5.5","0.1"
"Latin America","Email","Desktop","84","25002.829999999998","297.65","5.48","0.1"
"Latin America","Email","Mobile","135","37033.13","274.32","6.89","0.07"
"Latin America","Email","Tablet","21","4294.06","204.48","13.1","0.05"
"Latin America","Influencer","Tablet","16","5297.14","331.07","4.06","0"
"Latin America","Influencer","Desktop","73","22883.87","313.48","5.34","0.11"
"Latin America","Influencer","Mobile","98","26184.420000000002","267.19","4.18","0.08"
"Latin America","Organic","Desktop","115","33290.02","289.48","6.91","0.08"
"Latin America","Organic","Mobile","196","42800.21","218.37","5.15","0.11"
"Latin America","Organic","Tablet","38","7009.17","184.45","5.79","0.08"
"Latin America","Paid Search","Tablet","30","9580.53","319.35","7","0.03"
"Latin America","Paid Search","Desktop","98","27670.22","282.35","7.04","0.1"
"Latin America","Paid Search","Mobile","162","36573.86","225.76","6.2","0.07"
"Latin America","Referral","Mobile","81","25172.47","310.77","3.4","0.07"
"Latin America","Referral","Desktop","55","15414.15","280.26","5.91","0.07"
"Latin America","Referral","Tablet","13","2234.4","171.88","4.23","0"
"Latin America","Social Ads","Tablet","24","6686.25","278.59","4.79","0.13"
"Latin America","Social Ads","Desktop","117","32328.97","276.32","5.38","0.06"
"Latin America","Social Ads","Mobile","173","44251.75","255.79","5.69","0.12"
"Middle East","Email","Tablet","15","6814.93","454.33","3.33","0.13"
"Middle East","Email","Desktop","54","18136.71","335.87","4.91","0.13"
