"region","country","channel","device","total_orders","total_revenue","avg_order_value","return_rate_percent"
"Europe","France","Email","Mobile","49","20587.9","420.16","0.1"
"Europe","France","Email","Tablet","14","5605.2300000000005","400.37","0.21"
"Europe","France","Email","Desktop","44","17504.45","397.83","0.14"
"Europe","France","Influencer","Tablet","9","4663.45","518.16","0.11"
"Europe","France","Influencer","Desktop","32","12107.42","378.36","0"
"Europe","France","Influencer","Mobile","36","7527.29","209.09","0.11"
"Europe","France","Organic","Tablet","17","4459.6","262.33","0"
"Europe","France","Organic","Mobile","111","29061.829999999998","261.82","0.09"
"Europe","France","Organic","Desktop","54","13116.32","242.89","0.13"
"Europe","France","Paid Search","Tablet","15","4383.29","292.22","0.07"
"Europe","France","Paid Search","Desktop","54","15736.39","291.41","0.11"
"Europe","France","Paid Search","Mobile","92","23880.96","259.58","0.05"
"Europe","France","Referral","Mobile","36","13392.19","372.01","0.06"
"Europe","France","Referral","Desktop","21","5968.04","284.19","0.05"
"Europe","France","Referral","Tablet","4","838.1600000000001","209.54","0.25"
"Europe","France","Social Ads","Desktop","48","13296.789999999999","277.02","0.13"
"Europe","France","Social Ads","Mobile","69","19038.85","275.93","0.06"
"Europe","France","Social Ads","Tablet","11","2690.59","244.6","0"
"Europe","Germany","Email","Desktop","26","8003.57","307.83","0.12"
"Europe","Germany","Email","Mobile","48","14259.38","297.07","0.13"
"Europe","Germany","Email","Tablet","8","1374.46","171.81","0"
"Europe","Germany","Influencer","Tablet","8","2956.4900000000002","369.56","0"
"Europe","Germany","Influencer","Mobile","44","12809.57","291.13","0.09"
"Europe","Germany","Influencer","Desktop","26","3309.41","127.28","0.04"
"Europe","Germany","Organic","Tablet","12","6868.95","572.41","0.17"
"Europe","Germany","Organic","Desktop","56","12363.32","220.77","0.11"
"Europe","Germany","Organic","Mobile","77","16949.96","220.13","0.08"
"Europe","Germany","Paid Search","Tablet","14","4422.49","315.89","0.21"
"Europe","Germany","Paid Search","Mobile","54","12658.93","234.42","0.15"
"Europe","Germany","Paid Search","Desktop","45","8502.02","188.93","0.07"
"Europe","Germany","Referral","Tablet","8","3509.8799999999997","438.73","0.13"
"Europe","Germany","Referral","Desktop","21","6788.56","323.26","0.05"
"Europe","Germany","Referral","Mobile","38","10962.72","288.49","0"
"Europe","Germany","Social Ads","Desktop","42","12397.41","295.18","0.05"
"Europe","Germany","Social Ads","Tablet","8","2250.96","281.37","0.13"
"Europe","Germany","Social Ads","Mobile","85","21095.02","248.18","0.11"
"Europe","Poland","Email","Mobile","41","8603.51","209.84","0.1"
"Europe","Poland","Email","Desktop","29","4720.62","162.78","0.03"
"Europe","Poland","Email","Tablet","4","413.16","103.29","0.25"
"Europe","Poland","Influencer","Mobile","37","9573.97","258.76","0.11"
"Europe","Poland","Influencer","Tablet","6","1499.75","249.96","0"
"Europe","Poland","Influencer","Desktop","25","5264.94","210.6","0.12"
"Europe","Poland","Organic","Desktop","45","10839.59","240.88","0.07"
"Europe","Poland","Organic","Tablet","10","2346.49","234.65","0.1"
"Europe","Poland","Organic","Mobile","92","19630.57","213.38","0.11"
"Europe","Poland","Paid Search","Mobile","48","16555.01","344.9","0.06"
"Europe","Poland","Paid Search","Desktop","49","16869.53","344.28","0.08"
"Europe","Poland","Paid Search","Tablet","12","2654.31","221.19","0.25"
"Europe","Poland","Referral","Tablet","4","1094.14","273.54","0"
"Europe","Poland","Referral","Mobile","26","6288.3","241.86","0.12"
"Europe","Poland","Referral","Desktop","15","3343.57","222.9","0.07"
"Europe","Poland","Social Ads","Tablet","9","2616.98","290.78","0"
"Europe","Poland","Social Ads","Desktop","46","13188.89","286.71","0.04"
"Europe","Poland","Social Ads","Mobile","55","13891.62","252.57","0.09"
"Europe","Spain","Email","Tablet","3","3194.65","1064.88","0"
"Europe","Spain","Email","Mobile","50","17766.61","355.33","0.1"
"Europe","Spain","Email","Desktop","44","14367.53","326.53","0.11"
"Europe","Spain","Influencer","Mobile","46","13704.26","297.92","0.13"
"Europe","Spain","Influencer","Desktop","39","10911.58","279.78","0.05"
"Europe","Spain","Influencer","Tablet","11","2415.24","219.57","0.09"
"Europe","Spain","Organic","Tablet","20","6320.860000000001","316.04","0.1"
"Europe","Spain","Organic","Mobile","112","32630.68","291.35","0.12"
"Europe","Spain","Organic","Desktop","56","15638.11","279.25","0.07"
"Europe","Spain","Paid Search","Tablet","10","3966.4500000000003","396.65","0"
"Europe","Spain","Paid Search","Mobile","74","19982.79","270.04","0.07"
"Europe","Spain","Paid Search","Desktop","52","12958.53","249.2","0.04"
"Europe","Spain","Referral","Tablet","7","1969.29","281.33","0.43"
"Europe","Spain","Referral","Mobile","28","7262.35","259.37","0.07"
"Europe","Spain","Referral","Desktop","23","4366.62","189.85","0"
"Europe","Spain","Social Ads","Desktop","46","24654.27","535.96","0.04"
"Europe","Spain","Social Ads","Tablet","18","6689.61","371.64","0.06"
"Europe","Spain","Social Ads","Mobile","80","20915.29","261.44","0.14"
"Europe","UK","Email","Desktop","39","16033.85","411.12","0.15"
"Europe","UK","Email","Mobile","52","13708.53","263.63","0.1"
"Europe","UK","Email","Tablet","12","2342.2","195.18","0.17"
"Europe","UK","Influencer","Tablet","13","4635.6","356.58","0.08"
"Europe","UK","Influencer","Mobile","47","9920.25","211.07","0.09"
"Europe","UK","Influencer","Desktop","28","5688.79","203.17","0"
"Europe","UK","Organic","Desktop","60","21917.739999999998","365.3","0.07"
