"customer_id","region","country","acquisition_chan","total_spent","revenue_share_percent"
"12348","Europe","Spain","Influencer","30360.93","0.0087"
"11131","Europe","Spain","Influencer","22546.65","0.0065"
"12723","North America","Canada","Referral","19561.76","0.0056"
"10995","Europe","UK","Influencer","19496.63","0.0056"
"11387","Southeast Asia","Vietnam","Influencer","18730.1","0.0054"
"11835","Southeast Asia","Thailand","Referral","18114.42","0.0052"
"11046","Europe","UK","Organic","17960.45","0.0052"
"10837","North America","Mexico","Influencer","17822.03","0.0051"
"12965","Europe","Spain","Email","16732.93","0.0048"
"12478","North America","Mexico","Referral","16412.5","0.0047"
"12978","Southeast Asia","Vietnam","Organic","16030.08","0.0046"
"11493","Southeast Asia","Philippines","Organic","16017.48","0.0046"
"11302","Europe","Poland","Influencer","15695.02","0.0045"
"12251","Southeast Asia","Philippines","Influencer","15367.11","0.0044"
"12562","Southeast Asia","Vietnam","Influencer","15108.26","0.0043"
"10548","Europe","UK","Social Ads","14656.32","0.0042"
"12991","Southeast Asia","Vietnam","Referral","14433.89","0.0042"
"10414","North America","Mexico","Influencer","14336.28","0.0041"
"12057","Southeast Asia","Vietnam","Influencer","14304.93","0.0041"
"10146","North America","Canada","Organic","14026.84","0.004"
"12295","Southeast Asia","Indonesia","Organic","13480.46","0.0039"
"11222","Southeast Asia","Indonesia","Referral","13239.82","0.0038"
"12462","North America","USA","Organic","13022.92","0.0037"
"11717","Europe","UK","Email","12799.4","0.0037"
"12590","North America","USA","Influencer","12609.23","0.0036"
"12776","North America","USA","Influencer","12606.4","0.0036"
"12692","North America","USA","Organic","12439.24","0.0036"
"10359","North America","USA","Referral","12337.44","0.0036"
"11497","North America","Canada","Organic","11674.24","0.0034"
"11637","Latin America","Brazil","Referral","11598.22","0.0033"
"11069","Europe","France","Paid Search","11410.61","0.0033"
"12437","Europe","France","Organic","11324.94","0.0033"
"11464","Europe","France","Paid Search","11300.52","0.0033"
"12414","Southeast Asia","Indonesia","Organic","11212.59","0.0032"
"11839","Middle East","Turkey","Referral","11164.86","0.0032"
"10286","North America","USA","Paid Search","11048.66","0.0032"
"11370","Southeast Asia","Indonesia","Influencer","10959.56","0.0032"
"10539","Middle East","Turkey","Email","10615.72","0.0031"
"12766","Middle East","Turkey","Organic","10599.49","0.0031"
"11247","Europe","France","Influencer","10544.42","0.003"
"10220","Southeast Asia","Indonesia","Organic","10324.38","0.003"
"10370","Southeast Asia","Indonesia","Organic","10049.36","0.0029"
"11599","Europe","UK","Referral","9901.7","0.0029"
"10291","North America","Mexico","Social Ads","9336.13","0.0027"
"12463","North America","Mexico","Organic","9321.84","0.0027"
"10632","North America","Canada","Social Ads","9291.29","0.0027"
"11098","Southeast Asia","Philippines","Organic","8807.54","0.0025"
"11552","Southeast Asia","Philippines","Email","8680.02","0.0025"
"10801","Europe","Germany","Referral","8570.68","0.0025"
"12940","Southeast Asia","Thailand","Influencer","8551.08","0.0025"
"11909","Southeast Asia","Thailand","Social Ads","8527.13","0.0025"
"12657","Middle East","Saudi Arabia","Social Ads","8521.31","0.0025"
"10333","Middle East","Saudi Arabia","Referral","8488.21","0.0024"
"10016","Europe","UK","Organic","8382.29","0.0024"
"10741","Southeast Asia","Philippines","Organic","8299.17","0.0024"
"11954","Latin America","Brazil","Social Ads","8296.14","0.0024"
"12701","North America","Canada","Organic","7997.06","0.0023"
"10179","Southeast Asia","Thailand","Influencer","7954.32","0.0023"
"12707","North America","USA","Influencer","7936.73","0.0023"
"12425","Middle East","UAE","Organic","7666.49","0.0022"
"12646","North America","Canada","Email","7435.52","0.0021"
"11298","Southeast Asia","Philippines","Referral","7389.44","0.0021"
"10697","Middle East","UAE","Influencer","7291.57","0.0021"
"12629","North America","USA","Social Ads","7233.52","0.0021"
"10699","Europe","France","Email","7042.13","0.002"
"11468","Southeast Asia","Vietnam","Organic","6862.97","0.002"
"11522","North America","USA","Influencer","6780.65","0.002"
"10442","Europe","Spain","Organic","6749.55","0.0019"
"10530","Europe","Spain","Social Ads","6704.3099999999995","0.0019"
"10977","Middle East","Turkey","Paid Search","6696.849999999999","0.0019"
"12340","Southeast Asia","Philippines","Organic","6595.57","0.0019"
"10814","Southeast Asia","Indonesia","Paid Search","6535.9400000000005","0.0019"
"12626","Europe","Spain","Email","6535.71","0.0019"
"11024","Middle East","UAE","Paid Search","6502.2300000000005","0.0019"
"12089","Europe","UK","Paid Search","6486.81","0.0019"
"10601","North America","Canada","Organic","6473.6","0.0019"
"12029","Europe","Poland","Social Ads","6446.04","0.0019"
"11320","Southeast Asia","Philippines","Referral","6375.89","0.0018"
"10946","Southeast Asia","Indonesia","Paid Search","6337.61","0.0018"
"11756","North America","Canada","Social Ads","6322.59","0.0018"
"11080","Latin America","Argentina","Influencer","6250.63","0.0018"
"12953","North America","USA","Paid Search","6142.67","0.0018"
"11997","Europe","Germany","Social Ads","6126.65","0.0018"
"10943","Southeast Asia","Thailand","Social Ads","6089.05","0.0018"
