"customer_group","customers_count","revenue","avg_spent"
"10%","150","411042.16","2740.28"
"100%","150","4778.88","31.86"
"15%","150","300634.31","2004.23"
"20%","150","247148.14","1647.65"
"25%","150","209695.35","1397.97"
"30%","150","181201.35","1208.01"
"35%","150","157790.84","1051.94"
"40%","150","138283.82","921.89"
"45%","150","116742.57","778.28"
"5%","150","1218211.48","8121.41"
"50%","150","99857.62","665.72"
"55%","150","85023.31","566.82"
"60%","150","72033.17","480.22"
"65%","150","59264.45","395.1"
"70%","150","48740.8","324.94"
"75%","150","39519.92","263.47"
"80%","150","31483.28","209.89"
"85%","150","23654","157.69"
"90%","150","17470.89","116.47"
"95%","150","11439.69","76.26"
