"region","order_date","total_revenue","total_orders","avg_order_value"
"Latin America","2022-01-09","119.43","1","119.43"
"Europe","2022-01-13","936.72","1","936.72"
"North America","2022-01-13","247.09","1","247.09"
"Europe","2022-02-10","69.58","1","69.58"
"Europe","2022-02-12","672.68","1","672.68"
"North America","2022-02-16","317.11","1","317.11"
"Middle East","2022-03-02","11.8","1","11.8"
"North America","2022-03-05","202.17","1","202.17"
"North America","2022-03-06","606.4","1","606.4"
"Europe","2022-03-08","222.3","1","222.3"
"Europe","2022-03-20","1939.78","3","646.5933333333334"
"Europe","2022-03-21","162.02","1","162.02"
"Europe","2022-03-22","163.7","1","163.7"
"Europe","2022-03-24","657.93","1","657.93"
"Europe","2022-03-25","237.15","1","237.15"
"North America","2022-03-25","1373.57","1","1373.57"
"Europe","2022-04-05","479.78999999999996","3","159.92999999999998"
"Latin America","2022-04-07","240.64","1","240.64"
"North America","2022-04-07","372.4","1","372.4"
"Europe","2022-04-09","35.31","1","35.31"
"Europe","2022-04-15","27.69","1","27.69"
"North America","2022-04-18","2127.23","1","2127.23"
"Europe","2022-04-23","115.44","1","115.44"
"Southeast Asia","2022-04-27","109.64","1","109.64"
"Europe","2022-05-02","51.78","1","51.78"
"Europe","2022-05-04","145.34","1","145.34"
"Latin America","2022-05-04","1096.4","1","1096.4"
"Middle East","2022-05-04","111.74","1","111.74"
"Middle East","2022-05-05","52.26","1","52.26"
"Europe","2022-05-08","743.31","1","743.31"
"North America","2022-05-09","26.5","1","26.5"
"Middle East","2022-05-10","74.09","1","74.09"
"North America","2022-05-12","105.72","1","105.72"
"Latin America","2022-05-14","95.76","1","95.76"
"Latin America","2022-05-15","426.94","2","213.47"
"Southeast Asia","2022-05-15","322.35","1","322.35"
"Europe","2022-05-20","740.3","3","246.76666666666665"
"Europe","2022-05-21","1338.38","1","1338.38"
"Southeast Asia","2022-05-24","44.46","1","44.46"
"Europe","2022-05-25","392.3","1","392.3"
"Europe","2022-05-26","711.01","1","711.01"
"Europe","2022-05-28","564.52","3","188.17333333333332"
"Europe","2022-06-01","183.16","1","183.16"
"North America","2022-06-01","173.88","1","173.88"
"Latin America","2022-06-02","83.19","1","83.19"
"Europe","2022-06-03","106.54","1","106.54"
"North America","2022-06-03","69.82","1","69.82"
"Europe","2022-06-06","53.58","1","53.58"
"Europe","2022-06-08","175.75","1","175.75"
"Europe","2022-06-10","134.91","1","134.91"
"Latin America","2022-06-10","144.41","1","144.41"
"North America","2022-06-10","548.5","1","548.5"
"North America","2022-06-13","45.41","1","45.41"
"Europe","2022-06-14","812.6700000000001","2","406.33500000000004"
"Middle East","2022-06-14","354.1","1","354.1"
"Europe","2022-06-15","92.52","1","92.52"
"Europe","2022-06-16","936.12","1","936.12"
"Europe","2022-06-17","265.19","2","132.595"
"North America","2022-06-17","168.6","2","84.3"
"Europe","2022-06-19","145.5","1","145.5"
"Europe","2022-06-20","150.59","1","150.59"
"Latin America","2022-06-20","80.44","1","80.44"
"Latin America","2022-06-23","20.81","1","20.81"
"Europe","2022-06-24","193.04","1","193.04"
"North America","2022-06-24","227.8","1","227.8"
"Europe","2022-06-25","34.64","1","34.64"
"North America","2022-06-28","58.62","1","58.62"
"Europe","2022-07-01","556.79","2","278.395"
"Europe","2022-07-02","60.82","1","60.82"
"North America","2022-07-02","742.28","3","247.42666666666665"
"Southeast Asia","2022-07-02","136.25","1","136.25"
"North America","2022-07-03","779.78","2","389.89"
"Middle East","2022-07-04","30.23","1","30.23"
"North America","2022-07-04","19.51","1","19.51"
"Europe","2022-07-05","414.03","1","414.03"
"Europe","2022-07-06","269.89","3","89.96333333333332"
"North America","2022-07-06","20.47","1","20.47"
"Europe","2022-07-07","1746.1100000000001","2","873.0550000000001"
"Middle East","2022-07-07","60.23","1","60.23"
"North America","2022-07-07","861.91","1","861.91"
"Southeast Asia","2022-07-07","141.93","1","141.93"
"Europe","2022-07-08","1824.54","3","608.18"
"North America","2022-07-08","904.56","2","452.28"
"Southeast Asia","2022-07-08","106.49","1","106.49"
"Europe","2022-07-09","658.6800000000001","4","164.67000000000002"
"Southeast Asia","2022-07-09","18.74","1","18.74"
"Europe","2022-07-12","592.22","2","296.11"
"Europe","2022-07-13","114.64","1","114.64"
"Europe","2022-07-14","24.99","1","24.99"
"Europe","2022-07-15","1009.9200000000001","2","504.96000000000004"
"Europe","2022-07-16","391.71","3","130.57"
"North America","2022-07-16","1587.88","4","396.97"
"North America","2022-07-17","263.67","1","263.67"
"Latin America","2022-07-18","368.3","1","368.3"
"Southeast Asia","2022-07-18","53.41","1","53.41"
"Europe","2022-07-20","114.15","1","114.15"
"Europe","2022-07-22","89.89","1","89.89"
"Latin America","2022-07-22","78.18","1","78.18"
"North America","2022-07-22","255.48","1","255.48"
