"customer_id","region","acquisition_chan","total_spent","orders_count"
"12348","Europe","Influencer","30360.93","43"
"11131","Europe","Influencer","22546.65","41"
"12723","North America","Referral","19561.76","43"
"10995","Europe","Influencer","19496.63","32"
"11387","Southeast Asia","Influencer","18730.1","35"
"11835","Southeast Asia","Referral","18114.42","31"
"11046","Europe","Organic","17960.45","37"
"10837","North America","Influencer","17822.03","27"
"12965","Europe","Email","16732.93","32"
"12478","North America","Referral","16412.5","32"
