"customer_id","region","total_revenue","customer_rank","cumulative_revenue_percent","customer_percent","customer_group"
"12348","Europe","30360.93","1","0.0087","0.0003","Top 5%"
"11131","Europe","22546.65","2","0.0152","0.0007","Top 5%"
"12723","North America","19561.76","3","0.0209","0.001","Top 5%"
"10995","Europe","19496.63","4","0.0265","0.0013","Top 5%"
"11387","Southeast Asia","18730.1","5","0.0319","0.0017","Top 5%"
"11835","Southeast Asia","18114.42","6","0.0371","0.002","Top 5%"
"11046","Europe","17960.45","7","0.0422","0.0023","Top 5%"
"10837","North America","17822.03","8","0.0474","0.0027","Top 5%"
"12965","Europe","16732.93","9","0.0522","0.003","Top 5%"
"12478","North America","16412.5","10","0.0569","0.0033","Top 5%"
"12978","Southeast Asia","16030.08","11","0.0615","0.0037","Top 5%"
"11493","Southeast Asia","16017.48","12","0.0661","0.004","Top 5%"
"11302","Europe","15695.02","13","0.0707","0.0043","Top 5%"
"12251","Southeast Asia","15367.11","14","0.0751","0.0047","Top 5%"
"12562","Southeast Asia","15108.26","15","0.0794","0.005","Top 5%"
"10548","Europe","14656.32","16","0.0837","0.0053","Top 5%"
"12991","Southeast Asia","14433.89","17","0.0878","0.0057","Top 5%"
"10414","North America","14336.28","18","0.0919","0.006","Top 5%"
"12057","Southeast Asia","14304.93","19","0.0961","0.0063","Top 5%"
"10146","North America","14026.84","20","0.1001","0.0067","Top 5%"
"12295","Southeast Asia","13480.46","21","0.104","0.007","Top 5%"
"11222","Southeast Asia","13239.82","22","0.1078","0.0073","Top 5%"
"12462","North America","13022.92","23","0.1115","0.0077","Top 5%"
"11717","Europe","12799.4","24","0.1152","0.008","Top 5%"
"12590","North America","12609.23","25","0.1188","0.0083","Top 5%"
"12776","North America","12606.4","26","0.1225","0.0087","Top 5%"
"12692","North America","12439.24","27","0.1261","0.009","Top 5%"
"10359","North America","12337.44","28","0.1296","0.0093","Top 5%"
"11497","North America","11674.24","29","0.133","0.0097","Top 5%"
"11637","Latin America","11598.22","30","0.1363","0.01","Top 5%"
"11069","Europe","11410.61","31","0.1396","0.0103","Top 5%"
"12437","Europe","11324.94","32","0.1428","0.0107","Top 5%"
"11464","Europe","11300.52","33","0.1461","0.011","Top 5%"
"12414","Southeast Asia","11212.59","34","0.1493","0.0113","Top 5%"
