"customer_id","region","acquisition_chan","total_spent","orders_count"
"12348","Europe","Influencer","30360.93","43"
"11131","Europe","Influencer","22546.65","41"
"12723","North America","Referral","19561.76","43"
"10995","Europe","Influencer","19496.63","32"
"11387","Southeast Asia","Influencer","18730.1","35"
"11835","Southeast Asia","Referral","18114.42","31"
"11046","Europe","Organic","17960.45","37"
"10837","North America","Influencer","17822.03","27"
"12965","Europe","Email","16732.93","32"
"12478","North America","Referral","16412.5","32"
"12978","Southeast Asia","Organic","16030.08","28"
"11493","Southeast Asia","Organic","16017.48","22"
"11302","Europe","Influencer","15695.02","27"
"12251","Southeast Asia","Influencer","15367.11","35"
"12562","Southeast Asia","Influencer","15108.26","23"
"10548","Europe","Social Ads","14656.32","15"
"12991","Southeast Asia","Referral","14433.89","24"
"10414","North America","Influencer","14336.28","23"
"12057","Southeast Asia","Influencer","14304.93","28"
"10146","North America","Organic","14026.84","27"
"12295","Southeast Asia","Organic","13480.46","19"
"11222","Southeast Asia","Referral","13239.82","28"
"12462","North America","Organic","13022.92","25"
"11717","Europe","Email","12799.4","25"
"12590","North America","Influencer","12609.23","17"
"12776","North America","Influencer","12606.4","26"
"12692","North America","Organic","12439.24","19"
"10359","North America","Referral","12337.44","24"
"11497","North America","Organic","11674.24","29"
"11637","Latin America","Referral","11598.22","20"
"11069","Europe","Paid Search","11410.61","15"
"12437","Europe","Organic","11324.94","22"
"11464","Europe","Paid Search","11300.52","12"
"12414","Southeast Asia","Organic","11212.59","18"
"11839","Middle East","Referral","11164.86","19"
"10286","North America","Paid Search","11048.66","21"
"11370","Southeast Asia","Influencer","10959.56","21"
"10539","Middle East","Email","10615.72","19"
"12766","Middle East","Organic","10599.49","21"
"11247","Europe","Influencer","10544.42","18"
"10220","Southeast Asia","Organic","10324.38","17"
"10370","Southeast Asia","Organic","10049.36","21"
"11599","Europe","Referral","9901.7","18"
"10291","North America","Social Ads","9336.13","15"
"12463","North America","Organic","9321.84","20"
"10632","North America","Social Ads","9291.29","16"
"11098","Southeast Asia","Organic","8807.54","15"
"11552","Southeast Asia","Email","8680.02","14"
"10801","Europe","Referral","8570.68","23"
"12940","Southeast Asia","Influencer","8551.08","17"
"11909","Southeast Asia","Social Ads","8527.13","17"
"12657","Middle East","Social Ads","8521.31","15"
"10333","Middle East","Referral","8488.21","20"
"10016","Europe","Organic","8382.29","19"
"10741","Southeast Asia","Organic","8299.17","14"
"11954","Latin America","Social Ads","8296.14","15"
"12701","North America","Organic","7997.06","16"
"10179","Southeast Asia","Influencer","7954.32","7"
"12707","North America","Influencer","7936.73","13"
"12425","Middle East","Organic","7666.49","14"
"12646","North America","Email","7435.52","14"
"11298","Southeast Asia","Referral","7389.44","13"
"10697","Middle East","Influencer","7291.57","12"
"12629","North America","Social Ads","7233.52","12"
"10699","Europe","Email","7042.13","14"
